Drug	Target
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00478	DNA
D00479	DRD2 [HSA:1813] [KO:K04145]
D00480	HRH1 [HSA:3269] [KO:K04149]
D00481	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D00482	OPRM1 [HSA:4988] [KO:K04215]
D00483	ADRB [HSA:153 154 155] [KO:K04141 K04142 K04143]
D00484	SLC6A2 (NAT1) [HSA:6530] [KO:K05035]
	SLC6A4 (HTT) [HSA:6532] [KO:K05037]
D00485	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
	ADRB [HSA:153 154 155] [KO:K04141 K04142 K04143]
D00487	ACHE [HSA:43] [KO:K01049]
D00488	dihydrofolate reductase [KO:K13998]
D00490	NR3C4 (AR) [HSA:367] [KO:K08557]
D00491	TUBB [HSA:10381 10382 10383 203068 347688 347733 7280 81027 84617] [KO:K07375]
D00492	CHRN (neuronal type) [HSA:1135 1136 1137 1138 8973 1139 55584 57053 1141 1142 1143] [KO:K04804 K04805 K04806 K04807 K04808 K04809 K04810 K04811 K04813 K04814 K04815]
D00493	DRD2 [HSA:1813] [KO:K04145]
D00494	HRH1 [HSA:3269] [KO:K04149]
D00495	CACNA1-L [HSA:775 776 778 779] [KO:K04850 K04851 K04853 K04857]
D00497	penicillin binding protein
D00498	OPRK1 [HSA:4986] [KO:K04214]
	OPRM1 [HSA:4988] [KO:K04215]
D00499	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00500	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00502	DRD1 [HSA:1812] [KO:K04144]
	DRD2 [HSA:1813] [KO:K04145]
D00503	DRD2 [HSA:1813] [KO:K04145]
D00505	MAO [HSA:4128 4129] [KO:K00274]
D00506	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00507	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
D00509	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
D00510	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00511	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
D00512	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00513	ADRB [HSA:153 154 155] [KO:K04141 K04142 K04143]
D00514	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
D00517	GUCY1A [HSA:2977 2982] [KO:K12318]
	GUCY1B [HSA:2983] [KO:K12319]
D00518	CA [HSA:759 760 761 762 763 11238 765 766 767 768 771 377677 23632] [KO:K01672 K18245 K18246]
D00519	SLC12A3 (TSC) [HSA:6559] [KO:K14426]
D00520	HRH1 [HSA:3269] [KO:K04149]
D00521	HRH1 [HSA:3269] [KO:K04149]
	KCNH2 [HSA:3757] [KO:K04905]
D00522	AGTR1 [HSA:185] [KO:K04166]
D00523	AGTR1 [HSA:185] [KO:K04166]
D00524	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D00525	CHRM3 [HSA:1131] [KO:K04131]
	CHRM2 [HSA:1129] [KO:K04130]
D00528	ADORA1 [HSA:134] [KO:K04265]
	ADORA2A [HSA:135] [KO:K04266]
	PDE [HSA:5153 5138 5139 5140 5141 5142 5143 5144 8654] [KO:K13755 K18283 K19021 K13296 K13293 K13762]
D00529	CYSLTR1 [HSA:10800] [KO:K04322]
D00530	GABRA1 [HSA:2554] [KO:K05175]
D00531	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00532	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00533	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00534	cholinesterase (BChE) [KO:K01050]
D00535	ABAT [HSA:18] [KO:K13524]
D00536	GRIN (NMDAR) [HSA:2902 2903 2904 2905 2906 116443 116444] [KO:K05208 K05209 K05210 K05211 K05212 K05213 K05214]
D00537	GRIA [HSA:2890 2891 2892 2893] [KO:K05197 K05198 K05199 K05200]
	GRIK [HSA:2897 2898 2899 2900 2901] [KO:K05201 K05202 K05203 K05204 K05205]
	CACNA1-L [HSA:775 776 778 779] [KO:K04850 K04851 K04853 K04857]
	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
	CA2 [HSA:760] [KO:K18245]
	CA4 [HSA:762] [KO:K18246]
D00538	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
	CACNA1-T [HSA:8911 8912 8913] [KO:K04856 K04855 K04854]
D00539	CACNA1-T [HSA:8911 8912 8913] [KO:K04856 K04855 K04854]
D00540	CHRM3 [HSA:1131] [KO:K04131]
D00548	GABRA1 [HSA:2554] [KO:K05175]
D00549	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00550	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00551	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00552	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00553	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00554	NR3A1 (ESR1) [HSA:2099] [KO:K08550]
D00555	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00558	DDC [HSA:1644] [KO:K01593]
D00559	DRD2 [HSA:1813] [KO:K04145]
	DRD3 [HSA:1814] [KO:K04146]
	DRD4 [HSA:1815] [KO:K04147]
D00560	DRD2 [HSA:1813] [KO:K04145]
	ADRA2A [HSA:150] [KO:K04138]
D00561	HTR2A [HSA:3356] [KO:K04157]
	DRD2 [HSA:1813] [KO:K04145]
D00562	TPO [HSA:7173] [KO:K00431]
	DIO1 [HSA:1733] [KO:K01562]
	DIO2 [HSA:1734] [KO:K17904]
D00563	HTR2 [HSA:3356 3357 3358] [KO:K04157]
	HTR3 [HSA:3359 9177 170572 200909 285242] [KO:K04819]
	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
D00564	VKORC1 [HSA:79001] [KO:K05357]
	NQO1 [HSA:1728] [KO:K00355]
D00565	NR1C1 (PPARA) [HSA:5465] [KO:K07294]
D00566	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00567	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00568	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00570	TUBB [HSA:10381 10382 10383 203068 347688 347733 7280 81027 84617] [KO:K07375]
D00573	GNRHR [HSA:2798] [KO:K04280]
D00574	CYP19A1 (ARO) [HSA:1588] [KO:K07434]
D00575	NR3A (ESR) [HSA:2099 2100] [KO:K08550 K08551]
D00576	NR3A1 (ESR1) [HSA:2099] [KO:K08550]
D00577	NR3A (ESR) [HSA:2099 2100] [KO:K08550 K08551]
D00578	sterol 14alpha-demethylase [KO:K05917]
D00579	HCMV DNA polymerase [KO:K18964]
D00580	dihydropteroate synthase [KO:K00796]
D00582	protein tyrosine phosphatase [KO:K05697]
D00583	DNA
D00584	TYMS [HSA:7298] [KO:K00560]
D00585	NR3C3 (PGR) [HSA:5241] [KO:K08556]
	NR3C1 (GR) [HSA:2908] [KO:K05771]
D00586	NR3C4 (AR) [HSA:367] [KO:K08557]
D00587	dihydropteroate synthase [KO:K00796]
D00588	DNA gyrase [KO:K02469 K02470]
	topoisomerase IV [KO:K02621 K02622]
D00589	DNA gyrase [KO:K02469 K02470]
	topoisomerase IV [KO:K02621 K02622]
D00590	DNA gyrase [KO:K02469 K02470]
	topoisomerase IV [KO:K02621 K02622]
D00592	dihydropteroate synthase [KO:K00796]
D00593	ABCC8 (SUR1) [HSA:6833] [KO:K05032]
D00594	ABCC8(SUR1)/KCNJ11(KIR6.2) [HSA:6833 3767] [KO:K05032 K05004]
D00595	AMPK (PRKAA) [HSA:5562 5563] [KO:K07198]
D00596	NR1C3 (PPARG) [HSA:5468] [KO:K08530]
D00597	ADRB1 [HSA:153] [KO:K04141]
D00598	ADRB1 [HSA:153] [KO:K04141]
D00599	ADRB [HSA:153 154 155] [KO:K04141 K04142 K04143]
D00600	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	ADRB1 [HSA:153] [KO:K04141]
	ADRB2 [HSA:154] [KO:K04142]
D00601	ADRB1 [HSA:153] [KO:K04141]
D00602	ADRB [HSA:153 154 155] [KO:K04141 K04142 K04143]
D00603	ADRB1 [HSA:153] [KO:K04141]
	ADRB2 [HSA:154] [KO:K04142]
D00604	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
D00605	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
D00606	ADRA2A [HSA:150] [KO:K04138]
D00607	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
D00608	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
D00609	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
D00610	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
D00611	CHRN [HSA:1134 1135 1136 1137 1138 8973 1139 55584 57053 1140 1141 1142 1143 1144 1145 1146] [KO:K04803 K04804 K04805 K04806 K04807 K04808 K04809 K04810 K04811 K04812 K04813 K04814 K04815 K04816 K04817 K04818]
D00612	CHRNA10 [HSA:57053] [KO:K04811]
D00613	DRD1 [HSA:1812] [KO:K04144]
D00615	CACNA1-L [HSA:775 776 778 779] [KO:K04850 K04851 K04853 K04857]
D00616	CACNA1-L [HSA:775 776 778 779] [KO:K04850 K04851 K04853 K04857]
D00617	CACNA1-L [HSA:775 776 778 779] [KO:K04850 K04851 K04853 K04857]
D00618	CACNA1-L [HSA:775 776 778 779] [KO:K04850 K04851 K04853 K04857]
D00619	CACNA1-L [HSA:775 776 778 779] [KO:K04850 K04851 K04853 K04857]
D00620	ACE (CD143) [HSA:1636] [KO:K01283]
D00621	ACE (CD143) [HSA:1636] [KO:K01283]
D00622	ACE (CD143) [HSA:1636] [KO:K01283]
D00623	ACE (CD143) [HSA:1636] [KO:K01283]
D00624	ACE (CD143) [HSA:1636] [KO:K01283]
D00625	GAA [HSA:2548] [KO:K12316]
	GANC [HSA:2595] [KO:K12317]
	MGAM [HSA:8972] [KO:K12047]
D00626	AGTR1 [HSA:185] [KO:K04166]
D00627	AGTR1 [HSA:185] [KO:K04166]
D00628	NR1I1 (VDR) [HSA:7421] [KO:K08539]
D00629	CACNA1-L [HSA:775 776 778 779] [KO:K04850 K04851 K04853 K04857]
D00631	CACNA1-L [HSA:775 776 778 779] [KO:K04850 K04851 K04853 K04857]
	CACNA1-T [HSA:8911 8912 8913] [KO:K04856 K04855 K04854]
	KCNH2 [HSA:3757] [KO:K04905]
	KCNQ1 [HSA:3784] [KO:K04926]
	KCNA5 [HSA:3741] [KO:K04878]
	KCND3 [HSA:3752] [KO:K04893]
	KCNJ3 [HSA:3760] [KO:K04997]
	KCNJ5 [HSA:3762] [KO:K04999]
	KCNJ8 [HSA:3764] [KO:K05001]
	KCNJ11 [HSA:3767] [KO:K05004]
	KCNJ12 [HSA:3768] [KO:K05005]
	ATP1A [HSA:476 477 478 480] [KO:K01539]
D00632	ADRB1 [HSA:153] [KO:K04141]
D00633	DRD [HSA:1812 1813 1814 1815 1816] [KO:K04144 K04145 K04146 K04147 K05840]
D00634	ADRB1 [HSA:153] [KO:K04141]
D00635	ADRB1 [HSA:153] [KO:K04141]
D00636	KCND3 [HSA:3752] [KO:K04893]
	KCNH2 [HSA:3757] [KO:K04905]
	KCNQ1 [HSA:3784] [KO:K04926]
	KCNJ3 [HSA:3760] [KO:K04997]
	KCNJ5 [HSA:3762] [KO:K04999]
	KCNJ8 [HSA:3764] [KO:K05001]
	KCNJ11 [HSA:3767] [KO:K05004]
	KCNJ12 [HSA:3768] [KO:K05005]
	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	ADRB1 [HSA:153] [KO:K04141]
	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00637	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00638	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00639	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00640	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00642	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00643	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00644	ADRB1 [HSA:153] [KO:K04141]
D00645	ATP1A [HSA:476 477 478 480] [KO:K01539]
D00646	CHRM3 [HSA:1131] [KO:K04131]
D00647	KCNH2 [HSA:3757] [KO:K04905]
D00648	KCNH2 [HSA:3757] [KO:K04905]
D00649	SCNN1 [HSA:6337 6338 6340] [KO:K04824 K04825 K04827]
D00650	SLC12A3 (TSC) [HSA:6559] [KO:K14426]
D00651	SLC12A3 (TSC) [HSA:6559] [KO:K14426]
D00652	CA2 [HSA:760] [KO:K18245]
D00653	CA [HSA:759 760 761 762 763 11238 765 766 767 768 771 377677 23632] [KO:K01672 K18245 K18246]
D00654	SLC12A3 (TSC) [HSA:6559] [KO:K14426]
	SLC12A1 (NKCC2) [HSA:6557] [KO:K14425]
D00655	CA [HSA:759 760 761 762 763 11238 765 766 767 768 771 377677 23632] [KO:K01672 K18245 K18246]
D00656	SLC12A3 (TSC) [HSA:6559] [KO:K14426]
	SLC12A1 (NKCC2) [HSA:6557] [KO:K14425]
D00657	SLC12A3 (TSC) [HSA:6559] [KO:K14426]
D00658	SLC12A3 (TSC) [HSA:6559] [KO:K14426]
	SLC12A1 (NKCC2) [HSA:6557] [KO:K14425]
D00659	HRH1 [HSA:3269] [KO:K04149]
D00660	beta-lactamases
D00661	CHRM3 [HSA:1131] [KO:K04131]
D00662	HRH1 [HSA:3269] [KO:K04149]
D00663	HRH1 [HSA:3269] [KO:K04149]
D00664	HRH1 [HSA:3269] [KO:K04149]
D00665	HRH1 [HSA:3269] [KO:K04149]
D00666	HRH1 [HSA:3269] [KO:K04149]
D00667	ACHE [HSA:43] [KO:K01049]
D00668	HRH1 [HSA:3269] [KO:K04149]
D00669	HRH1 [HSA:3269] [KO:K04149]
D00670	ACHE [HSA:43] [KO:K01049]
D00671	HRH1 [HSA:3269] [KO:K04149]
D00672	HRH1 [HSA:3269] [KO:K04149]
D00673	HRH2 [HSA:3274] [KO:K04150]
D00674	HTR1B [HSA:3351] [KO:K04153]
	HTR1D [HSA:3352] [KO:K04153]
D00675	HTR1B [HSA:3351] [KO:K04153]
	HTR1D [HSA:3352] [KO:K04153]
D00676	HTR1B [HSA:3351] [KO:K04153]
	HTR1D [HSA:3352] [KO:K04153]
D00677	HTR3B [HSA:9177] [KO:K04819]
D00678	HTR3 [HSA:3359 9177 170572 200909 285242] [KO:K04819]
D00679	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	HTR1A [HSA:3350] [KO:K04153]
	HTR1B [HSA:3351] [KO:K04153]
	HTR1D [HSA:3352] [KO:K04153]
D00680	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
D00681	HTR1A [HSA:3350] [KO:K04153]
	HTR2 [HSA:3356 3357 3358] [KO:K04157]
	HTR7 [HSA:3363] [KO:K04163]
D00682	PTGFR [HSA:5737] [KO:K04262]
D00683	ADRB2 [HSA:154] [KO:K04142]
D00684	ADRB2 [HSA:154] [KO:K04142]
D00685	ADRB2 [HSA:154] [KO:K04142]
D00686	ADRB2 [HSA:154] [KO:K04142]
D00687	ADRB2 [HSA:154] [KO:K04142]
D00688	ADRB2 [HSA:154] [KO:K04142]
D00689	NR3C1 (GR) [HSA:2908] [KO:K05771]
D00690	NR3C1 (GR) [HSA:2908] [KO:K05771]
D00691	PDE [HSA:10846 27115 50940 5136 5137 5138 5139 5140 5141 5142 5143 5144 5150 5151 5153 8622] [KO:K18438 K18436 K13298 K13755 K18283 K19021 K13296 K13293 K18437]
	ADORA1 [HSA:134] [KO:K04265]
	ADORA2B [HSA:136] [KO:K04267]
D00693	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00694	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00695	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00696	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00697	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00698	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00699	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00700	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00701	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00702	HTR1A [HSA:3350] [KO:K04153]
	DRD2 [HSA:1813] [KO:K04145]
D00706	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00707	ADH [HSA:124 125 126] [KO:K13951]
D00709	SV2A [HSA:9900] [KO:K06258]
D00710	ABAT [HSA:18] [KO:K13524]
	SSADH [HSA:7915] [KO:K00139]
	GAD [HSA:2571 2572] [KO:K01580]
	CACNA1-T [HSA:8911 8912 8913] [KO:K04856 K04855 K04854]
D00711	GRIN (NMDAR) [HSA:2902 2903 2904 2905 2906] [KO:K05208 K05209 K05210 K05211 K05212]
D00712	GABRA1 [HSA:2554] [KO:K05175]
D00713	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00714	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00715	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D00716	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D00717	CHRM1 [HSA:1128] [KO:K04129]
	CHRM3 [HSA:1131] [KO:K04131]
	CHRM2 [HSA:1129] [KO:K04130]
D00718	PDE [HSA:10846 27115 50940 5136 5137 5138 5139 5140 5141 5142 5143 5144 5150 5151 5153 8622] [KO:K18438 K18436 K13298 K13755 K18283 K19021 K13296 K13293 K18437]
D00719	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D00720	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D00721	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
	HRH2 [HSA:3274] [KO:K04150]
D00722	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D00723	CHRM1 [HSA:1128] [KO:K04129]
	CHRM2 [HSA:1129] [KO:K04130]
	CHRM3 [HSA:1131] [KO:K04131]
D00724	ATP4 [HSA:495 496] [KO:K01542 K01543]
D00725	HTR3 [HSA:3359 9177 170572 200909 285242] [KO:K04819]
D00726	DRD2 [HSA:1813] [KO:K04145]
D00729	OPRM1 [HSA:4988] [KO:K04215]
	OPRD1 [HSA:4985] [KO:K04213]
	OPRK1 [HSA:4986] [KO:K04214]
D00730	KCND [HSA:3750 3751 3752] [KO:K04891 K04892 K04893]
D00732	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00733	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00734	NR1H4 (FXR) [HSA:9971] [KO:K08537]
D00737	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
